time,pm2.5
06/03/2021 06:54,646 811 681 442
06/03/2021 07:04,643 810 670 431
06/03/2021 07:14,635 653 645 423
06/03/2021 07:24,632 675 644 417
06/03/2021 07:34,628 708 645 411
06/03/2021 07:44,621 614 631 404
06/03/2021 07:54,620 673 638 400
06/03/2021 08:04,621 689 640 398
06/03/2021 08:14,620 701 642 395
06/03/2021 08:24,622 712 644 393
06/03/2021 08:34,622 718 647 391
06/03/2021 08:44,620 727 649 390
06/03/2021 08:54,620 732 650 388
06/03/2021 09:04,620 739 654 387
06/03/2021 09:14,622 746 655 386
06/03/2021 09:24,620 752 659 386
06/03/2021 09:35,623 759 665 388
06/03/2021 09:45,623 765 668 388
06/03/2021 09:55,622 771 671 389
06/03/2021 10:05,628 776 673 388
06/03/2021 10:15,626 781 676 389
06/03/2021 10:25,628 785 679 389
06/03/2021 10:35,626 791 684 388
06/03/2021 10:45,635 793 686 391
06/03/2021 10:55,629 796 689 392
06/03/2021 11:05,628 798 691 392
